date,daily_rides,total_rides
1/1/2016,11009,24371025
1/2/2016,14587,24385612
1/3/2016,15499,24401111
1/4/2016,19593,24420704
1/5/2016,18053,24438757
1/6/2016,24569,24463326
1/7/2016,27773,24491099
1/8/2016,28709,24519808
1/9/2016,20846,24540654
1/10/2016,14275,24554929
1/11/2016,22937,24577866
1/12/2016,25211,24603077
1/13/2016,21133,24624210
1/14/2016,23780,24647990
1/15/2016,28435,24676425
1/16/2016,19178,24695603
1/17/2016,12024,24707627
1/18/2016,12718,24720345
1/19/2016,17281,24737626
1/20/2016,23419,24761045
1/21/2016,23671,24784716
1/22/2016,20950,24805666
1/23/2016,0,24805666
1/24/2016,0,24805666
1/25/2016,0,24805666
1/26/2016,0,24805666
1/27/2016,6760,24812426
1/28/2016,11944,24824370
1/29/2016,16028,24840398
1/30/2016,12964,24853362
1/31/2016,16112,24869474
2/1/2016,24334,24893808
2/2/2016,28527,24922335
2/3/2016,16203,24938538
2/4/2016,27765,24966303
2/5/2016,13669,24979972
2/6/2016,16933,24996905
2/7/2016,17605,25014510
2/8/2016,19026,25033536
2/9/2016,22740,25056276
2/10/2016,22418,25078694
2/11/2016,18747,25097441
2/12/2016,16445,25113886
2/13/2016,6625,25120511
2/14/2016,4652,25125163
2/15/2016,5883,25131046
2/16/2016,14225,25145271
2/17/2016,23572,25168843
2/18/2016,22261,25191104
2/19/2016,21959,25213063
2/20/2016,24484,25237547
2/21/2016,20052,25257599
2/22/2016,28233,25285832
2/23/2016,16133,25301965
2/24/2016,9761,25311726
2/25/2016,25102,25336828
2/26/2016,22574,25359402
2/27/2016,17226,25376628
2/28/2016,25440,25402068
2/29/2016,27957,25430025
3/1/2016,30509,25460534
3/2/2016,26195,25486729
3/3/2016,24061,25510790
3/4/2016,17369,25528159
3/5/2016,18023,25546182
3/6/2016,18832,25565014
3/7/2016,31492,25596506
3/8/2016,36521,25633027
3/9/2016,41489,25674516
3/10/2016,42252,25716768
3/11/2016,38193,25754961
3/12/2016,32770,25787731
3/13/2016,27549,25815280
3/14/2016,10930,25826210
3/15/2016,31595,25857805
3/16/2016,36067,25893872
3/17/2016,35390,25929262
3/18/2016,34647,25963909
3/19/2016,24048,25987957
3/20/2016,16676,26004633
3/21/2016,26414,26031047
3/22/2016,33496,26064543
3/23/2016,40981,26105524
3/24/2016,36495,26142019
3/25/2016,34091,26176110
3/26/2016,27474,26203584
3/27/2016,22481,26226065
3/28/2016,20344,26246409
3/29/2016,31481,26277890
3/30/2016,33674,26311564
3/31/2016,38192,26349756
4/1/2016,34448,26384204
4/2/2016,21838,26406042
4/3/2016,15321,26421363
4/4/2016,12302,26433665
4/5/2016,26236,26459901
4/6/2016,29364,26489265
4/7/2016,30400,26519665
4/8/2016,30811,26550476
4/9/2016,12698,26563174
4/10/2016,23228,26586402
4/11/2016,32048,26618450
4/12/2016,23765,26642215
4/13/2016,37538,26679753
4/14/2016,38502,26718255
4/15/2016,39676,26757931
4/16/2016,36148,26794079
4/17/2016,38838,26832917
4/18/2016,43989,26876906
4/19/2016,46075,26922981
4/20/2016,44542,26967523
4/21/2016,45568,27013091
4/22/2016,48806,27061897
4/23/2016,33631,27095528
4/24/2016,37862,27133390
4/25/2016,42303,27175693
4/26/2016,34639,27210332
4/27/2016,41931,27252263
4/28/2016,37428,27289691
4/29/2016,34878,27324569
4/30/2016,38258,27362827
5/1/2016,10697,27373524
5/2/2016,38536,27412060
5/3/2016,22858,27434918
5/4/2016,31619,27466537
5/5/2016,39903,27506440
5/6/2016,18860,27525300
5/7/2016,31078,27556378
5/8/2016,31197,27587575
5/9/2016,45724,27633299
5/10/2016,44849,27678148
5/11/2016,51181,27729329
5/12/2016,52273,27781602
5/13/2016,32391,27813993
5/14/2016,42063,27856056
5/15/2016,28662,27884718
5/16/2016,42787,27927505
5/17/2016,43396,27970901
5/18/2016,44803,28015704
5/19/2016,49184,28064888
5/20/2016,52544,28117432
5/21/2016,30524,28147956
5/22/2016,37804,28185760
5/23/2016,48578,28234338
5/24/2016,34799,28269137
5/25/2016,53441,28322578
5/26/2016,52134,28374712
5/27/2016,46943,28421655
5/28/2016,34233,28455888
5/29/2016,36881,28492769
5/30/2016,32627,28525396
5/31/2016,49774,28575170
6/1/2016,54662,28629832
6/2/2016,54401,28684233
6/3/2016,38975,28723208
6/4/2016,40973,28764181
6/5/2016,22395,28786576
6/6/2016,52130,28838706
6/7/2016,51761,28890467
6/8/2016,42063,28932530
6/9/2016,52885,28985415
6/10/2016,53235,29038650
6/11/2016,40980,29079630
6/12/2016,40636,29120266
6/13/2016,49069,29169335
6/14/2016,54813,29224148
6/15/2016,55049,29279197
6/16/2016,46198,29325395
6/17/2016,54236,29379631
6/18/2016,48901,29428532
6/19/2016,45270,29473802
6/20/2016,52247,29526049
6/21/2016,53564,29579613
6/22/2016,55749,29635362
6/23/2016,53206,29688568
6/24/2016,54186,29742754
6/25/2016,43000,29785754
6/26/2016,42992,29828746
6/27/2016,47023,29875769
6/28/2016,49593,29925362
6/29/2016,54882,29980244
6/30/2016,54843,30035087
7/1/16,39665,30074752
7/2/16,35835,30110587
7/3/16,35347,30145934
7/4/16,34859,30180793
7/5/16,43736,30224529
7/6/16,51336,30275865
7/7/16,48724,30324589
7/8/16,44400,30368989
7/9/16,38138,30407127
7/10/16,41985,30449112
7/11/16,52853,30501965
7/12/16,56515,30558480
7/13/16,55471,30613951
7/14/16,50345,30664296
7/15/16,48558,30712854
7/16/16,38405,30751259
7/17/16,41346,30792605
7/18/16,43681,30836286
7/19/16,54587,30890873
7/20/16,57213,30948086
7/21/16,54832,31002918
7/22/16,49185,31052103
7/23/16,37522,31089625
7/24/16,39634,31129259
7/25/16,35376,31164635
7/26/16,52904,31217539
7/27/16,54148,31271687
7/28/16,50134,31321821
7/29/16,37693,31359514
7/30/16,27780,31387294
7/31/16,27651,31414945
8/1/16,49395,31464340
8/2/16,56744,31521084
8/3/16,56992,31578076
8/4/16,56587,31634663
8/5/16,53286,31687949
8/6/16,44209,31732158
8/7/16,43631,31775789
8/8/16,52251,31828040
8/9/16,56101,31884141
8/10/16,50100,31934241
8/11/16,47420,31981661
8/12/16,44729,32026390
8/13/16,38903,32065293
8/14/16,32961,32098254
8/15/16,49056,32147310
8/16/16,50411,32197721
8/17/16,53983,32251704
8/18/16,53209,32304913
8/19/16,51658,32356571
8/20/16,45808,32402379
8/21/16,35041,32437420
8/22/16,54201,32491621
8/23/16,58665,32550286
8/24/16,58134,32608420
8/25/16,53480,32661900
8/26/16,52026,32713926
8/27/16,45673,32759599
8/28/16,44639,32804238
8/29/16,53279,32857517
8/30/16,57392,32914909
8/31/16,57200,32972109
9/1/16,38174,33010283
9/2/16,52999,33063282
9/3/16,41629,33104911
9/4/16,46020,33150931
9/5/16,45431,33196362
9/6/16,52432,33248794
9/7/16,60278,33309072
9/8/16,61551,33370623
9/9/16,56804,33427427
9/10/16,48454,33475881
9/11/16,52238,33528119
9/12/16,61083,33589202
9/13/16,64818,33654020
9/14/16,58928,33712948
9/15/16,67312,33780260
9/16/16,65257,33845517
9/17/16,59199,33904716
9/18/16,51685,33956401
9/19/16,34205,33990606
9/20/16,64881,34055487
9/21/16,65453,34120940
9/22/16,67762,34188702
9/23/16,65499,34254201
9/24/16,53258,34307459
9/25/16,53563,34361022
9/26/16,61120,34422142
9/27/16,61334,34483476
9/28/16,59456,34542932
9/29/16,55550,34598482
9/30/16,21368,34619850
